H3K4me3	H3K9me2	H3K27me3	H3K5ac	H3K56ac	Mnase	ATAQ	Transcripts_ds	Exons_ds	TE_ds	SNPs_ds	TSS_dt	TTS_dt	Telomere_dt	Centromere_dt	AT	CG	mCG	mCHG	Motif_ds	class
0.0877225182039184	0.250989747919473	0.024957111696291	0.0327585060280864	0.0280625404993929	0.28968253968254	0	0.111111111111111	0	0.03125	0	0.0365078436073986	0.0171778699819798	0.737887485992673	0.0504743110664194	0.224944320712695	0.775055679287305	1	1	0.0112359550561798	0
0.0831901209350395	0.325800966437366	0.0181934629232025	0.056685590817602	0.0484212838595895	0.357142857142857	0	0.111111111111111	0	0	0	0.0391226940700478	0.0145562336266033	0.737896832195866	0.0504826334833656	0.236080178173719	0.763919821826281	1	1	0.0617977528089888	0
0.0502488424769723	0.692303563074616	0.0366344931725787	0.0742812509755009	0.045054198410851	0.126984126984127	0	0.333333333333333	0	0.0625	0	0.0393568034255485	0.0169393673243788	0.743575349069892	0.0555391237061	0.290645879732739	0.709354120267261	1	1	0.0112359550561798	0
0.0214336049261227	0.782129488578723	0.0336650530337769	0.0898974078482521	0.0443697717774017	0.0277777777777778	0	0	0	0.1875	0	0.0247570643442012	0.0181886669594318	0.746481917040293	0.0581273052418932	0.548997772828508	0.339643652561247	1	1	0.00561797752808989	0
0.0182921316201801	0.86862383012203	0.0211157148147503	0.0820574347754685	0.0226872618530845	0.146825396825397	0.0512820512820513	0	0	0.0625	0.154761904761905	0.0368722234913634	0.0385768584278511	0.754241951458074	0.0650373028754425	0.687082405345212	0.312917594654788	1	1	0.0280898876404494	0
0.0189629582472225	0.900193167587891	0.0207505188142619	0.0719441205970133	0.0290447490767711	0.158730158730159	0	0	0	0.03125	0.452380952380952	0.0940383297430272	0.0774092554174175	0.756601837397416	0.0671386861140179	0.721603563474388	0.278396436525613	1	1	0.0168539325842697	0
0.0212045215272362	0.767534358126857	0.0326399054593725	0.0794760050542819	0.0451755655235615	0.0515873015873016	0	0	0	0	0	0.0115091179930032	0.0158490694610597	0.757814414474406	0.0682184370895163	0.626948775055679	0.373051224944321	1	1	0.0280898876404494	0
0.0156252486816275	0.855634202266889	0.0301242247706156	0.0748336389337148	0.0232940974166367	0.0476190476190476	0.0512820512820513	0	0	0.0625	0	0.00870546966301469	0.0225385011432985	0.765575103463819	0.0751290175927001	0.688195991091314	0.311804008908686	1	1	0.00561797752808989	0
0.0256712245176465	0.754631423520138	0.0380190237025199	0.0898159747340191	0.0464668277205631	0	0	0	0	0	0	0.0492988991196355	0.0433639474839862	0.769447771925218	0.0785774726462585	0.214922048997773	0.673719376391982	1	1	0.0842696629213483	0
0.0161162626186349	0.849522842686825	0.0294584601517478	0.109199770358618	0.0366659746382054	0.130952380952381	0	0	0	0.15625	0	0.00171050867809397	0.00058679225282796	0.775094552197357	0.0836057027051677	0.670378619153675	0.329621380846325	1	1	0.050561797752809	0
0.0276837043987738	0.752143421230505	0.0386847883213876	0.0873159781270655	0.0475153556921438	0	0	0	0	0	0	0.0722397279800327	0.0775852930932659	0.775430867052736	0.0839051775179947	0.191536748329621	0.808463251670379	1	1	0.129213483146067	0
0.0149544220545851	0.733536491371248	0.0284863138695491	0.0808074364719917	0.0369087088636264	0.222222222222222	0	0	0	0.0625	0.0119047619047619	0.312024347372972	0.314997652830989	0.778903065890705	0.0946297804969441	0.535634743875278	0.464365256124722	1	1	0	0
0.0135963452308832	0.832764809626905	0.0211157148147503	0.0717493597321393	0.015606552461	0.170634920634921	0.0256410256410256	0	0	0.03125	0	0.183143371212479	0.185782213001802	0.778442409417982	0.0950399765044649	0.66369710467706	0.33630289532294	1	1	0	0
0.0154290124219754	0.639082452615519	0.029923845691696	0.0827550451207314	0.0401206121725709	0.202380952380952	0	0	0	0.03125	0	0.0762309148955853	0.0723022699395793	0.775612149653862	0.0975602086605991	0.403118040089087	0.596881959910913	1	1	0.235955056179775	0
0.0160998390490178	0.616329210140407	0.0286925059934204	0.0589093934454486	0.0411140924256436	0.218253968253968	0.0128205128205128	0	0	0.03125	0	0.1895209631712	0.192925935460424	0.767694964059226	0.104610143078151	0.363028953229399	0.636971046770601	1	1	0.0112359550561798	0
0.0207627782990803	0.781328694364786	0.0201907567798057	0.119621173152588	0.026302062035109	0.253968253968254	0.0769230769230769	0	0	0.0625	0	0.00206922462603862	0.0154023501976165	0.733748818515075	0.134837816404021	0.651447661469933	0.348552338530067	1	0.5	0.0898876404494382	0
0.0160834154794006	0.75823590333336	0.0238789628296809	0.0806126756071178	0.0242212582755071	0.142857142857143	0	0	0	0.0625	0.0119047619047619	0.0488306804086341	0.0465818404833654	0.732558355162173	0.135897876000218	0.452115812917595	0.547884187082405	1	0.833333	0.0898876404494382	0
0.0250003978906041	0.747326913440325	0.0423497421914564	0.0859526520729478	0.0436302974254444	0.0634920634920635	0	0	0	0	0	0.133366813488475	0.145462013719581	0.726034928023236	0.141706724732821	0.570155902004454	0.429844097995546	1	1	0.0898876404494382	0
0.0276837043987738	0.752143421230505	0.0386847883213876	0.0873159781270655	0.0475153556921438	0	0	0	0	0	0	0.246439744216649	0.25066818601693	0.721141552950816	0.146064077851385	0.2728285077951	0.7271714922049	1	1	0.00561797752808989	0
0.022546174781321	0.751139783603273	0.0192186104976069	0.0825602842558574	0.0421513487215298	0.146825396825397	0.0256410256410256	0	0	0.03125	0	0.240445411928627	0.247490043460484	0.721099997774456	0.146101081059728	0.766146993318486	0.233853006681514	1	1	0.179775280898876	0
0.0229879180094769	0.745837001841493	0.0377068289942373	0.103874044687779	0.0428908230734871	0.0674603174603175	0	0	0	0.0625	0	0.0881251805379606	0.0947745203446553	0.720555562881059	0.1465858783715	0.548997772828508	0.451002227171492	1	1	0	0
0.00870432258193413	0.799649442564202	0.0235725811663499	0.0562960690878541	0.0214785712338448	0.281746031746032	0	0	0	0.125	0	0.0142674548348302	0.0207251237942366	0.720291574816883	0.146820949094197	0.566815144766147	0.433184855233853	1	1	0.00561797752808989	0
0.0165087351379394	0.80144776830196	0.0362221089248363	0.0873159781270655	0.0283215269083733	0.0555555555555556	0	0	0	0	0.0119047619047619	0.00451226902940904	0.0141625149537381	0.7047630505354	0.160648473594822	0.677060133630289	0.322939866369711	1	1	0.00561797752808989	0
0.0187831455571874	0.752276256938032	0.0251044894830049	0.0748336389337148	0.0278635823167855	0.373015873015873	0	0.111111111111111	0.117647058823529	0	0.0119047619047619	0	0	0.703252380187782	0.161993664603665	0.603563474387528	0.396436525612472	1	1	0.00561797752808989	0
